ENBR 17 50.5968 45.0 17 60.3066626 5.2136891 35 60.2801164 5.2225813 10990 170.5550000000003
ENBR 35 50.5968 45.0 35 60.2801164 5.2225813 17 60.3066626 5.2136891 11050 350.554999999993
USRK 17 67.056 42.06 17 62.2016626 74.5378348 35 62.1794673 74.529552 10850 189.93699999999808
USRK 35 67.056 42.06 35 62.1794673 74.529552 17 62.2016626 74.5378348 10950 9.937000000005355
EFLP 06 106.3752 60.0 06 61.0401271 28.1230931 24 61.0490113 28.1657649 10990 66.72399999999834
CYQH 09 687.0192000000001 45.72 09 60.1190097 -128.8367795 27 60.1138962 -128.8082671 11030 106.92299999999886
ESNV 28 346.86240000000004 30.0 28 64.577555 16.848782 10 64.5806115 16.8183151 10990 283.1579999999958
ENVA 09 19.2024 45.11 09 63.4576629 10.886347 27 63.4575535 10.9466448 11030 90.25600000000122
ENVA 27 19.2024 45.11 27 63.4575535 10.9466448 09 63.4576629 10.886347 10990 270.25599999999395
USHQ 16 23.7744 44.0 16 63.6975725 66.700614 34 63.6783695 66.6988506 11030 182.3269999999975
BIKF 01 50.5968 60.0 01 63.9644775 -22.6054933 19 63.9918745 -22.6055124 11130 0.018000000000029104
BIKF 19 50.5968 60.0 19 63.9918745 -22.6055124 01 63.9644775 -22.6054933 11030 180.0179999999964
BIKF 10 50.5968 60.0 10 63.9850359 -22.6550894 28 63.9850487 -22.5924478 10950 90.0219999999972
BIKF 28 50.5968 60.0 28 63.9850487 -22.5924478 10 63.9850359 -22.6550894 10850 270.0219999999972
PANC 15 45.110400000000006 58.0 15 61.1997218 -150.0145266 33 61.1710187 -149.9984751 11175 164.90499999999884
EFTU 26 49.0728 60.05 26 60.5151289 22.2854804 08 60.5131081 22.2400988 10950 264.8619999999937
CYFB 34 33.528 60.96 34 63.7481414 -68.5374027 16 63.7649891 -68.5747139 10990 315.60599999999977
ESNU 14 7.315200000000001 45.11 14 63.7985605 20.269293 32 63.7830512 20.300327 10990 138.5179999999964
ESNU 32 7.315200000000001 45.11 32 63.7830512 20.300327 14 63.7985605 20.269293 11070 318.5179999999964
EFMA 21 5.1816 60.0 21 60.1300321 19.9048435 03 60.1143639 19.8913667 10890 203.3469999999943
USDD 04 65.8368 46.0 04 66.5848709 66.5841089 22 66.5965417 66.6380896 11150 61.48400000000038
USDD 22 65.8368 46.0 22 66.5965417 66.6380896 04 66.5848709 66.5841089 11130 241.48399999999674
ESNO 12 107.89920000000001 45.0 12 63.413956 18.971219 30 63.404517 19.005385 11010 121.65400000000227
ESNX 12 379.476 45.0 12 65.5985444 19.2561694 30 65.5846556 19.2987376 10935 128.25800000000163
ESNX 30 379.476 45.0 30 65.5846556 19.2987376 12 65.5985444 19.2561694 11150 308.25800000000163
ESNN 16 5.1816 45.11 16 62.5366528 17.4372231 34 62.5188592 17.4511629 10870 160.16500000000087
ESNN 34 5.1816 45.11 34 62.5188592 17.4511629 16 62.5366528 17.4372231 11030 340.1649999999936
USRR 07 60.96 45.0 07 61.343781 73.376058 25 61.343947 73.428203 11050 89.64700000000084
USRR 25 60.96 45.0 25 61.343947 73.428203 07 61.343781 73.376058 10910 269.6469999999972
BIRK 19 13.411200000000001 45.11 19 64.1359235 -21.9388617 01 64.1219326 -21.936216 10990 175.2719999999972
ESOH 18 144.4752 30.0 18 60.0268365 13.5781086 36 60.0132835 13.5796868 11010 176.69200000000274
ESNL 14 214.88400000000001 45.11 14 64.5567224 18.7014615 32 64.5417656 18.7276929 10870 142.99599999999919
CYEV 06 68.2752 45.72 06 68.3031825 -133.5052736 24 68.304372 -133.461033 11030 85.85299999999916
UNSS 15 50.292 42.0 15 60.7183621 77.6550055 33 60.7011389 77.6655597 10830 163.30399999999645
ESNZ 12 374.904 45.11 12 63.1988259 14.4793615 30 63.1894241 14.5246466 10950 114.73599999999715
ESUP 11 164.8968 45.0 11 67.249571 23.0511309 29 67.2397604 23.0982182 11150 118.25800000000163
USHH 06 42.976800000000004 45.0 06 61.0253472 69.0611002 24 61.0316817 69.1110545 11190 75.35800000000017
USHH 24 42.976800000000004 45.0 24 61.0316817 69.1110545 06 61.0253472 69.0611002 11010 255.3579999999929
BIEG 03 23.1648 45.0 03 65.2759537 -14.4097198 21 65.2909755 -14.39287 10930 25.26800000000003
PAOM 28 12.192 45.72 28 64.5087571 -165.4322327 10 64.5143186 -165.4681381 10870 289.79499999999825
EFOU 12 14.020800000000001 60.0 12 64.9358361 25.3318944 30 64.9242806 25.377225 10950 121.05200000000332
ESUT 33 457.20000000000005 30.0 33 65.7994973 15.0910648 15 65.8110379 15.0764854 11010 332.5829999999987
PANI 11 25.908 46.02 11 61.585838 -159.557781 29 61.577339 -159.528324 10970 121.23200000000361
EFVA 16 5.7912 48.0 16 63.061994 21.7543989 34 63.0405845 21.7687031 10850 163.19600000000355
UOOO 01 181.35600000000002 45.11 01 69.2980649 87.308678 19 69.3194296 87.3468345 10950 32.32999999999993
UOOO 19 181.35600000000002 45.11 19 69.3194296 87.3468345 01 69.2980649 87.308678 11030 212.33000000000175
ENAT 11 1.8288000000000002 45.0 11 69.9827472 23.3396333 29 69.9722823 23.3900161 10890 121.22899999999936
ENBO 07 12.4968 45.11 07 67.2654343 14.3202303 25 67.271895 14.3974296 11030 77.84300000000076
ENBO 25 12.4968 45.11 25 67.271895 14.3974296 07 67.2654343 14.3202303 10870 268.38300000000163
EFMI 11 100.584 45.0 11 61.6897107 27.1867564 29 61.6838235 27.2165465 10950 112.63700000000244
PABI 10 393.4968 45.72 10 63.9997118 -145.7354988 28 63.9902143 -145.7041684 11110 124.62999999999738
ESNK 35 9.7536 45.0 35 63.039725 17.771767 17 63.0574625 17.7659929 10970 351.54499999999825
ENTC 18 0.0 45.0 18 69.6937907 18.9258948 36 69.6723736 18.9116177 10990 193.03599999999278
ENTC 36 0.0 45.0 36 69.6723736 18.9116177 18 69.6937907 18.9258948 11090 13.036000000000058
USHN 34 109.72800000000001 44.0 34 62.099139 65.612806 16 62.121833 65.6148611 11030 2.4250000000029104
EFSI 32 91.44 45.0 32 62.6842005 22.848856 14 62.6970766 22.8219754 11150 316.2390000000014
USMQ 13 32.9184 42.0 13 67.9982959 75.0852381 31 67.9782981 75.1086108 11010 156.34399999999732
USMQ 31 32.9184 42.0 31 67.9782981 75.1086108 13 67.9982959 75.0852381 10810 336.3439999999973
ENKR 23 86.25840000000001 45.11 23 69.7295565 29.9215306 05 69.7220149 29.8646882 11030 249.07600000000093
ULAA 08 18.8976 44.0 08 64.601528 40.690563 26 64.598992 40.7425083 11030 96.51800000000003
ULAA 26 18.8976 44.0 26 64.598992 40.7425083 08 64.601528 40.690563 11170 276.5179999999964
EFRO 21 195.9864 60.05 21 66.575589 25.8510186 03 66.5540718 25.8099376 11170 217.17799999999988
UUYS 13 79.8576 42.0 13 66.0150197 57.35653 31 65.99437 57.37828 10870 156.8139999999985
PAEI 14 166.4208 42.87 14 64.6842042 -147.1179305 32 64.6471515 -147.0850382 11050 159.21399999999994
PAEI 32 166.4208 42.87 32 64.6471515 -147.0850382 14 64.6842042 -147.1179305 10990 339.2140000000072
ESSD 32 152.7048 45.0 32 60.4150664 15.5308875 14 60.4291196 15.4998183 10950 312.4799999999959
EFHA 26 145.9992 64.0 26 61.856842 24.811261 08 61.855256 24.761964 10990 266.11999999999534
PAKU 06 20.1168 50.0 06 70.3289321 -149.623332 24 70.3324908 -149.572006 11190 78.41100000000006
PAKU 24 20.1168 50.0 24 70.3324908 -149.572006 06 70.3289321 -149.623332 11070 258.4109999999928
UOII 12 24.9936 46.02 12 67.4452483 86.6009038 30 67.4295417 86.6425651 11030 134.50400000000081
UHMP 35 3.3528000000000002 40.0 35 69.7723622 170.6043317 17 69.7941818 170.5896387 10830 346.75100000000384
UERL 25L 254.2032 50.0 25L 60.7282651 114.8408526 07R 60.7188489 114.8099323 11030 237.95699999999488
EFIV 22 145.9992 45.0 22 68.614926 27.4277689 04 68.5996018 27.3827014 10990 227.0069999999978
EFKI 07 145.9992 48.0 07 64.283448 27.6668714 25 64.2875149 27.7178487 10990 79.61000000000058
UUYW 08 183.7944 50.0 08 67.4909129 63.9677514 26 67.4868722 64.0182195 10950 101.84400000000096
PAFA 20R 132.2832 45.72 20R 64.8280313 -147.839203 2L 64.802655 -147.885844 11030 218.04899999999907
UEEE 23 99.9744 60.05 23 62.1062192 129.7955796 05 62.0803895 129.7542152 11170 216.86999999999534
EFET 21 306.324 45.0 21 68.3699615 23.4381378 03 68.3552198 23.4105166 11130 214.67600000000675
UOHH 06 29.8704 48.16 06 71.9732203 102.4578309 24 71.9835877 102.5286467 11030 64.66999999999825
ENSG 24 497.1288 30.0 24 61.1583247 7.1452477 06 61.1532401 7.1274676 10810 235.23500000000058
USMU 09 64.31280000000001 46.0 09 66.0734678 76.492615 27 66.066518 76.546342 11095 107.7410000000018
USMU 27 64.31280000000001 46.0 27 66.066518 76.546342 09 66.0734678 76.492615 10950 287.74099999999453
USNN 03 53.644800000000004 60.05 03 60.9391996 76.4631231 21 60.9604742 76.5027719 11050 42.19499999999971
USNN 21 53.644800000000004 60.05 21 60.9604742 76.5027719 03 60.9391996 76.4631231 11190 222.19500000000698
EFJY 30 139.5984 60.0 30 62.3908956 25.697573 12 62.4076073 25.6602691 11090 314.0
CYZF 34 204.5208 45.72 34 62.4527925 -114.4408605 16 62.4732893 -114.4439831 10950 355.9679999999935
CYXY 32L 705.6120000000001 45.72 32L 60.6973409 -135.0579195 14R 60.7217082 -135.0767164 10950 339.35199999999895
PAEN 20R 30.1752 46.02 20R 60.5814713 -151.2359701 2L 60.5630419 -151.2585258 10890 211.02300000000105
EFJO 28 121.3104 52.12 28 62.6567931 29.643456 10 62.6645975 29.5976644 10950 290.3680000000022
EFKK 19 25.2984 60.05 19 63.729886 23.1474407 01 63.707847 23.1380987 10930 190.6339999999982
ENKB 07 62.484 45.0 07 63.1091347 7.8067589 25 63.1159442 7.851684 11010 71.3739999999998
